,DATES,DATES.1,NetworkTyp,SuCode,Trit,jdate,well,cov,calc_3H_,por,model
26,2014-06-10,2014-06-10,FPS,glacfps1,7.88,2456818.5,443317089211504,0.002659416138111047,6.9250679591444895,0.05973422866780982,Tomorrow
27,2014-06-11,2014-06-11,FPS,glacfps1,8.25,2456819.5,443317089211505,0.00033225888462435515,6.964903090733548,0.053503283874790315,Tomorrow
28,2014-06-11,2014-06-11,FPS,glacfps1,7.59,2456819.5,443303089211701,0.0008418708584137786,10.851541889758703,0.225762962153811,Tomorrow
29,2014-06-11,2014-06-11,FPS,glacfps1,8.0,2456819.5,443303089211702,0.000258358702889482,10.82205986477361,0.2261829565294688,Tomorrow
30,2014-06-11,2014-06-11,FPS,glacfps1,7.72,2456819.5,443303089211703,0.00025835191406706567,10.82206192252376,0.2261829862417782,Tomorrow
31,2014-06-11,2014-06-11,FPS,glacfps1,9.23,2456819.5,443317089211704,0.0002431423499886837,9.23000001237662,0.2866045743084023,Tomorrow
32,2014-06-11,2014-06-11,FPS,glacfps1,8.02,2456819.5,443317089211705,0.0002578448859957963,8.020000109696234,0.2975937965778209,Tomorrow
33,2014-06-11,2014-06-11,FPS,glacfps1,7.93,2456819.5,443317089211706,0.0002620384302827228,7.930000137762723,0.2984214553157495,Tomorrow
34,2014-06-16,2014-06-16,FPS,glacfps1,6.79,2456824.5,443338089221503,0.0001253809039861483,7.9175756511569855,0.0951350168710336,Tomorrow
35,2014-06-10,2014-06-10,FPS,glacfps1,7.54,2456818.5,443317089211701,7.13287583541654e-05,7.0119138353290165,0.05131123732942063,Tomorrow
36,2014-06-16,2014-06-16,FPS,glacfps1,5.89,2456824.5,443338089221501,0.00012894693514779702,6.307485709844884,0.1997052132164565,Tomorrow
37,2014-06-17,2014-06-17,FPS,glacfps1,6.43,2456825.5,443338089221502,0.0003474937455720725,8.505023968854763,0.205,Tomorrow
38,1994-09-15,1994-09-15,LUS,wmiclusag2,19.12,2449610.5,442154089005301,0.3652507717799565,8.910975273770546,0.1941827550187269,Tomorrow
39,2014-07-08,2014-07-08,LUS,wmiclusag2,5.17,2456846.5,442154089005301,0.3652507717799565,3.551080513286513,0.1941827550187269,Tomorrow
0,2010-06-15,2010-06-15,LUS,uirblusrc1,9.0,2455362.5,430728088132801,5.737780372833265e-06,9.457748337982306,0.2263293807323858,Upper_fox
1,2010-08-25,2010-08-25,LUS,uirblusrc1,4.3,2455433.5,425003088121501,0.0051206132500257896,7.918141504744852,0.2294080859662388,Upper_fox
2,2010-07-12,2010-07-12,LUS,uirblusrc1,5.73,2455389.5,422002088263001,1.7277372349128653e-05,8.57035941689333,0.20688088593692705,Upper_fox
3,2010-08-26,2010-08-26,LUS,uirblusrc1,6.6,2455434.5,420114088141802,1964.650756429778,12.52154694834116,0.09466567220780372,Upper_fox
4,2010-07-13,2010-07-13,LUS,uirblusrc1,6.84,2455390.5,421301088191501,0.0003282516855555456,10.307168689070624,0.20431048108653332,Upper_fox
5,2013-08-28,2013-08-28,PAS,glacpas1,0.3,2456532.5,422448088041901,0.015147068089756903,0.48900063057633397,0.3920965960872812,Upper_fox
6,2010-06-09,2010-06-09,LUS,uirblusrc1,7.33,2455356.5,421633088125801,0.0010311334886194316,12.184779868247006,0.20369998478145734,Upper_fox
7,2010-07-13,2010-07-13,LUS,uirblusrc1,4.53,2455390.5,421402088173501,0.00047727134919939236,9.309231643782898,0.2091824798552237,Upper_fox
8,2010-07-21,2010-07-21,LUS,uirblusrc1,4.95,2455398.5,421228088160701,1.3119159358213573e-05,9.467521339556527,0.19561807769207645,Upper_fox
0,2013-09-16,2013-09-16,PAS,glacpas1,9.16,2456551.5,440435091404901,0.524414366126101,4.948060734999759,0.012581595067987577,WI_Waumaundee_04
