,tau_glac,tau_bed,tau_tot,rech_vol,rech_frac
Assabet,2.1696391105651855,62.662269592285156,14.156905174255371,270958.0,0.19099999964237213
Board2,84.46009826660156,713.0630493164062,113.87232971191406,100996.0,0.04100000113248825
CONN,2.140655040740967,638.4795532226562,13.031010627746582,5616.0,0.017000000923871994
IA_Willow_02,140.39175415039062,2948.93896484375,193.72596740722656,13428.0,0.017999999225139618
IL_West_Fork_Mazon_03,24.82904052734375,114.58152770996094,58.3693733215332,379078.0,0.2930000126361847
Kala2,28.69180679321289,120.57835388183594,50.05636978149414,728403.0,0.1770000010728836
MN_Talcot_Lake-Des_Moines_04,189.60182189941406,104.88700866699219,253.55032348632812,514053.0,0.6100000143051147
MO_U16_Mississippi,21.128910064697266,63.32867431640625,51.0253791809082,1156107.0,0.47200000286102295
MO_Wildcat_02,27.354358673095703,70.26725769042969,66.88643646240234,1972296.0,0.5630000233650208
NE_Upper_Logan_Creek_02,82.15792083740234,227.5577392578125,144.35792541503906,200063.0,0.27300000190734863
NY_Ramapo_02,3.0324270725250244,32.84857177734375,14.806884765625,1356116.0,0.3580000102519989
NorthSkunk,17.980531692504883,29.767425537109375,43.40865707397461,1210036.0,0.8539999723434448
OH_Three_Brothers_Creek-Grand_05,8.543272972106934,50.323768615722656,30.71196937561035,597524.0,0.4410000145435333
Oconto,27.14686393737793,334.2451171875,57.738807678222656,123997.0,0.09200000017881393
Racoon,26.73554039001465,918.6514282226562,64.82793426513672,53431.0,0.04100000113248825
SD_Willow_07,360.19342041015625,115.35935974121094,433.0566711425781,612000.0,0.6320000290870667
SugarCreek,26.150264739990234,51.071685791015625,43.75350570678711,834152.0,0.3449999988079071
Tomorrow,33.3591423034668,52.07269287109375,66.06999969482422,238876.0,0.628000020980835
Upper_fox,35.13187789916992,34.4620361328125,60.93077087402344,1924664.0,0.7490000128746033
WI_Waumaundee_04,9.137374877929688,71.9998550415039,52.95342254638672,567798.0,0.609000027179718
Whitedam3,5.229881763458252,39.66612243652344,29.10141944885254,1265368.0,0.6019999980926514
huc_07030001_domain,23.225025177001953,171.7752685546875,60.63843536376953,506771.0,0.21799999475479126
huc_07050002_domain,22.056764602661133,104.53965759277344,51.8283576965332,486886.0,0.2849999964237213
huc_07070001_domain,28.59939956665039,646.6317749023438,60.59268569946289,145732.0,0.04899999871850014
huc_07070003_domain,47.77776336669922,353.6632995605469,158.4445037841797,382969.0,0.31299999356269836
huc_07080205_domain,25.2581729888916,72.25007629394531,53.173152923583984,1443355.0,0.38600000739097595
huc_07090006_domain,36.51885986328125,44.03001403808594,63.83271789550781,1223395.0,0.6200000047683716
huc_07120003_domain,14.771206855773926,24.93750762939453,35.85359573364258,1136214.0,0.8450000286102295
huc_07120004_domain,18.238645553588867,37.89219665527344,40.97433853149414,1652261.0,0.6000000238418579
huc_07130009_domain,40.89291763305664,41.42808532714844,65.88329315185547,1948520.0,0.6029999852180481
