,OBJECTID,SITE_NO,DEC_LAT_VA,DEC_LONG_V,LSElevFt,NHDStrmOrd,SiteType,WLElevFt,DTWFt,dtwBin,location,geometry_x,x,y,sim_top,sim_heads,model,WLm,DTWm,LSDm,sim_dtw_top,sim_dtw_lsd,dtw_res_top,dtw_res_lsd,res_wl_el,res_lsd,swgw,model_num,model_name
30,650,455819089532001,45.971895,-89.889044,1605.315063,2,GW,1589.815063,15.5,6,Hydroregion 7,POINT (473923.3255000003 2568983.3378),473923.32550000027,2568983.3378,489.41477563599716,485.1411287532485,huc_07050002_domain,484.5756312024,4.7244,489.3000312024,4.273646882748665,1120.1739342467515,0.4507531172513355,-1115.4495342467515,-0.5654975508484767,1115.900287364003,1,23,huc_07050002_domain
31,662,455937089413901,45.993562,-89.694316,1671.850464,1,GW,1624.010464,47.84,8,Hydroregion 7,POINT (488843.7252999991 2572369.615499999),488843.7252999991,2572369.6154999994,509.08522722242327,497.1938688866876,huc_07050002_domain,494.99838942720004,14.581632000000003,509.58002142720005,11.891358335735674,1174.6565951133125,2.6902736642643283,-1160.0749631133126,-2.195479459487558,1162.7652367775768,1,23,huc_07050002_domain
32,664,455941089420601,45.994673,-89.701817,1665.19043,1,GW,1641.28043,23.91,7,Hydroregion 7,POINT (488254.9541999996 2572454.1095),488254.95419999957,2572454.1095000003,506.49551047800674,497.104410721004,huc_07050002_domain,500.26227506400005,7.287768000000001,507.5500430640001,9.391099757002735,1168.086019278996,-2.103331757002734,-1160.798251278996,3.1578643429960493,1158.6949195219934,1,23,huc_07050002_domain
33,665,455941089421601,45.994673,-89.704595,1652.821655,1,GW,1634.791655,18.03,6,Hydroregion 7,POINT (488039.9193000011 2572439.839600001),488039.9193000011,2572439.8396000005,505.9300583362924,,huc_07050002_domain,498.284496444,5.495544000000001,503.780040444,,,,,,1146.8915966637076,1,23,huc_07050002_domain
34,666,455941089422501,45.994673,-89.707095,1635.465942,1,GW,1625.175942,10.29,6,Hydroregion 7,POINT (487846.3874999993 2572427.0021),487846.38749999925,2572427.0021,506.752740159399,,huc_07050002_domain,495.3536271216,3.136392,498.4900191216,,,,,,1128.713201840601,1,23,huc_07050002_domain
35,668,455942089415301,45.994951,-89.698205,1629.133911,1,GW,1627.193911,1.94,2,Hydroregion 7,POINT (488532.4554000013 2572503.4332),488532.45540000126,2572503.4332,507.0916712551068,496.9082248528576,huc_07050002_domain,495.96870407280005,0.5913120000000001,496.5600160728,10.183446402249217,1132.2256861471424,-9.592134402249217,-1131.6343741471424,-0.9395207800575349,1122.042239744893,1,23,huc_07050002_domain
36,669,455942089415302,45.994951,-89.698205,1629.133911,1,GW,1626.373911,2.76,3,Hydroregion 7,POINT (488532.4554000013 2572503.4332),488532.45540000126,2572503.4332,507.0916712551068,496.9082248528576,huc_07050002_domain,495.7187680728,0.841248,496.5600160728,10.183446402249217,1132.2256861471424,-9.342198402249217,-1131.3844381471424,-1.1894567800575828,1122.042239744893,1,23,huc_07050002_domain
37,670,455942089415303,45.994951,-89.698205,1629.133911,1,GW,1626.453911,2.68,3,Hydroregion 7,POINT (488532.4554000013 2572503.4332),488532.45540000126,2572503.4332,507.0916712551068,496.9082248528576,huc_07050002_domain,495.74315207280006,0.816864,496.5600160728,10.183446402249217,1132.2256861471424,-9.366582402249216,-1131.4088221471425,-1.1650727800575282,1122.042239744893,1,23,huc_07050002_domain
38,671,455942089415304,45.994951,-89.698205,1629.133911,1,GW,1627.153911,1.98,2,Hydroregion 7,POINT (488532.4554000013 2572503.4332),488532.45540000126,2572503.4332,507.0916712551068,496.9082248528576,huc_07050002_domain,495.9565120728001,0.603504,496.5600160728,10.183446402249217,1132.2256861471424,-9.579942402249216,-1131.6221821471424,-0.9517127800575054,1122.042239744893,1,23,huc_07050002_domain
39,672,455942089415305,45.994951,-89.698205,1629.133911,1,GW,1627.223911,1.91,2,Hydroregion 7,POINT (488532.4554000013 2572503.4332),488532.45540000126,2572503.4332,507.0916712551068,496.9082248528576,huc_07050002_domain,495.97784807280004,0.582168,496.5600160728,10.183446402249217,1132.2256861471424,-9.601278402249218,-1131.6435181471425,-0.9303767800575429,1122.042239744893,1,23,huc_07050002_domain
40,673,455942089415901,45.994951,-89.699872,1627.460693,1,GW,1625.910693,1.55,2,Hydroregion 7,POINT (488403.4354000017 2572494.865700001),488403.4354000017,2572494.865700001,505.6060242877538,497.01081620455886,huc_07050002_domain,495.5775792264,0.47244,496.0500192264,8.595208083194962,1130.449876795441,-8.122768083194961,-1129.977436795441,-1.4332369781588454,1121.8546687122462,1,23,huc_07050002_domain
41,674,455943089420601,45.994951,-89.701817,1642.815063,1,GW,1642.655063,0.16,1,Hydroregion 7,POINT (488252.9118999988 2572484.8731),488252.9118999988,2572484.8730999995,505.1405650242293,497.0581285999133,huc_07050002_domain,500.6812632024,0.048768000000000006,500.7300312024,8.082436424316029,1145.7569344000867,-8.033668424316028,-1145.7081664000866,3.6231346024866866,1137.6744979757707,1,23,huc_07050002_domain
42,675,455945089421601,45.995784,-89.704595,1629.133911,1,GW,1628.453911,0.68,1,Hydroregion 7,POINT (488031.7536000013 2572562.894099999),488031.75360000134,2572562.894099999,500.3997160048998,,huc_07050002_domain,496.35275207280006,0.20726400000000003,496.5600160728,,,,,,1128.7341949951,1,23,huc_07050002_domain
43,676,455945089431301,45.995784,-89.720429,1666.174683,1,GW,1621.914683,44.26,8,Hydroregion 7,POINT (486806.0672999993 2572481.677200001),486806.0672999993,2572481.6772000007,509.81809164941933,,huc_07050002_domain,494.3595953784,13.490448,507.8500433784,,,,,,1156.3565913505806,1,23,huc_07050002_domain
44,677,455946089415201,45.996062,-89.697928,1647.900391,1,GW,1634.110391,13.79,6,Hydroregion 7,POINT (488545.7844999991 2572627.915200001),488545.78449999914,2572627.9152000006,503.2395012111178,496.55410209913134,huc_07050002_domain,498.0768471768,4.203192,502.2800391768,6.685399111986442,1151.3462889008686,-2.482207111986442,-1147.1430969008686,1.5227450776686737,1144.660889788882,1,23,huc_07050002_domain
45,678,455946089415601,45.996062,-89.699039,1627.985596,1,GW,1625.965596,2.02,3,Hydroregion 7,POINT (488459.7725999989 2572622.2031),488459.77259999886,2572622.2030999996,502.7394556312443,496.6886467691722,huc_07050002_domain,495.5943136608,0.615696,496.21000966080004,6.050808862072131,1131.2969492308277,-5.435112862072131,-1130.6812532308277,-1.0943331083721546,1125.2461403687557,1,23,huc_07050002_domain
46,679,455947089421101,45.99634,-89.703206,1628.773071,1,GW,1626.523071,2.25,3,Hydroregion 7,POINT (488135.1856000014 2572631.5551),488135.18560000136,2572631.5550999995,498.75666532700194,496.8776491305097,huc_07050002_domain,495.76423204080004,0.6858000000000001,496.45003204080007,1.8790161964922163,1131.8954218694903,-1.1932161964922163,-1131.2096218694903,-1.1134170897096851,1130.0164056729982,1,23,huc_07050002_domain
47,680,455947089422201,45.99634,-89.706261,1632.283569,1,GW,1631.773569,0.51,1,Hydroregion 7,POINT (487898.6528999992 2572615.862500001),487898.6528999992,2572615.8625000007,499.798825848706,496.967474368376,huc_07050002_domain,497.36458383120004,0.155448,497.5200318312,2.8313514803299995,1135.3160946316239,-2.6759034803299997,-1135.1606466316239,0.3971094628240621,1132.484743151294,1,23,huc_07050002_domain
48,681,455947089422701,45.99634,-89.70765,1675.098511,1,GW,1615.558511,59.54,9,Hydroregion 7,POINT (487791.1378000006 2572608.732000001),487791.1378000006,2572608.732000001,502.7393436814467,496.9938574266881,huc_07050002_domain,492.4222341528,18.147792,510.5700261528,5.745486254758589,1178.1046535733117,12.40230574524141,-1159.9568615733117,-4.571623273888122,1172.3591673185533,1,23,huc_07050002_domain
49,682,455948089415901,45.996617,-89.699872,1625.820313,1,GW,1622.290313,3.53,4,Hydroregion 7,POINT (488391.1777000017 2572679.4465),488391.17770000175,2572679.4464999996,501.8440109611007,496.66184213512366,huc_07050002_domain,494.4740874024,1.075944,495.5500314024,5.182168825977044,1129.1584708648763,-4.106224825977044,-1128.0825268648764,-2.187754732723647,1123.9763020388991,1,23,huc_07050002_domain
50,683,455951089421901,45.997451,-89.705428,1625.000122,1,GW,1623.200122,1.8,2,Hydroregion 7,POINT (487954.997299999 2572743.195499999),487954.997299999,2572743.1954999994,497.3847823701376,496.8675119478297,huc_07050002_domain,494.7513971856,0.54864,495.3000371856,0.5172704223078881,1128.13261005217,0.031369577692111905,-1127.5839700521701,-2.1161147622296994,1127.6153396298623,1,23,huc_07050002_domain
51,684,455953089414301,45.998006,-89.695428,1645.702148,1,GW,1635.372148,10.33,6,Hydroregion 7,POINT (488725.0003000014 2572856.114),488725.00030000135,2572856.114,501.1852419938991,495.95292091040096,huc_07050002_domain,498.4614307104,3.148584,501.61001471040004,5.232321083498164,1149.7492270895991,-2.0837370834981637,-1146.600643089599,2.5085097999990467,1144.516906006101,1,23,huc_07050002_domain
52,685,455953089414302,45.998006,-89.695428,1645.702148,1,GW,1630.952148,14.75,6,Hydroregion 7,POINT (488725.0003000014 2572856.114),488725.00030000135,2572856.114,501.1852419938991,495.95292091040096,huc_07050002_domain,497.11421471040006,4.4958,501.61001471040004,5.232321083498164,1149.7492270895991,-0.7365210834981637,-1145.2534270895992,1.1612937999991004,1144.516906006101,1,23,huc_07050002_domain
53,686,455954089421101,45.998284,-89.703206,1627.755981,1,GW,1625.075981,2.68,3,Hydroregion 7,POINT (488120.8925999999 2572846.899),488120.8925999999,2572846.899,499.13556016082464,496.5424111830806,huc_07050002_domain,495.3231590088,0.816864,496.14002300880003,2.593148977744022,1131.2135698169195,-1.776284977744022,-1130.3967058169196,-1.219252174280598,1128.6204208391755,1,23,huc_07050002_domain
54,687,455954089422301,45.998284,-89.706539,1637.79541,1,GW,1636.72541,1.07,2,Hydroregion 7,POINT (487862.8643999994 2572829.7806),487862.8643999994,2572829.7806,497.96795882960646,496.90947296627854,huc_07050002_domain,498.87390496800003,0.32613600000000004,499.200040968,1.0584858633279168,1140.8859370337213,-0.7323498633279169,-1140.5598010337214,1.964432001721491,1139.8274511703935,1,23,huc_07050002_domain
55,688,455956089415101,45.99884,-89.69765,1639.698242,1,GW,1626.268242,13.43,6,Hydroregion 7,POINT (488546.8509000018 2572936.976199999),488546.8509000018,2572936.9761999995,500.52142499769275,495.8884194948102,huc_07050002_domain,495.6865601616,4.093464,499.7800241616,4.633005502882554,1143.8098225051897,-0.5395415028825541,-1139.7163585051896,-0.20185933321016591,1139.1768170023072,1,23,huc_07050002_domain
56,689,455956089415102,45.99884,-89.69765,1639.698242,1,GW,1598.708242,40.99,8,Hydroregion 7,POINT (488546.8509000018 2572936.976199999),488546.8509000018,2572936.9761999995,500.52142499769275,495.8884194948102,huc_07050002_domain,487.2862721616,12.493752,499.7800241616,4.633005502882554,1143.8098225051897,7.8607464971174466,-1131.3160705051896,-8.602147333210212,1139.1768170023072,1,23,huc_07050002_domain
57,690,455958089420501,45.999395,-89.701539,1648.228394,1,GW,1630.948394,17.28,6,Hydroregion 7,POINT (488241.7369000018 2572978.514599999),488241.73690000176,2572978.5145999994,500.19482077113736,496.18924695265264,huc_07050002_domain,497.1130704912,5.2669440000000005,502.38001449120003,4.00557381848472,1152.0391470473473,1.2613701815152805,-1146.7722030473474,0.9238235385473672,1148.0335732288627,1,23,huc_07050002_domain
58,691,455959089422301,45.999673,-89.706539,1632.414795,1,GW,1629.624795,2.79,3,Hydroregion 7,POINT (487852.6605999991 2572983.597200001),487852.66059999913,2572983.5972000007,498.3349934893697,496.60746191280145,huc_07050002_domain,496.709637516,0.850392,497.560029516,1.7275315765682535,1135.8073330871985,-0.8771395765682535,-1134.9569410871984,0.10217560319853192,1134.0798015106302,1,23,huc_07050002_domain
59,692,455959089422302,45.999673,-89.706539,1632.414795,1,GW,1627.674795,4.74,4,Hydroregion 7,POINT (487852.6605999991 2572983.597200001),487852.66059999913,2572983.5972000007,498.3349934893697,496.60746191280145,huc_07050002_domain,496.115277516,1.444752,497.560029516,1.7275315765682535,1135.8073330871985,-0.2827795765682535,-1134.3625810871984,-0.49218439680146275,1134.0798015106302,1,23,huc_07050002_domain
60,693,455959089422303,45.999673,-89.706539,1632.414795,1,GW,1623.694795,8.72,5,Hydroregion 7,POINT (487852.6605999991 2572983.597200001),487852.66059999913,2572983.5972000007,498.3349934893697,496.60746191280145,huc_07050002_domain,494.90217351600006,2.657856,497.560029516,1.7275315765682535,1135.8073330871985,0.9303244234317467,-1133.1494770871984,-1.705288396801393,1134.0798015106302,1,23,huc_07050002_domain
61,694,455959089422304,45.999673,-89.706539,1632.414795,1,GW,1627.914795,4.5,4,Hydroregion 7,POINT (487852.6605999991 2572983.597200001),487852.66059999913,2572983.5972000007,498.3349934893697,496.60746191280145,huc_07050002_domain,496.188429516,1.3716000000000002,497.560029516,1.7275315765682535,1135.8073330871985,-0.35593157656825336,-1134.4357330871985,-0.41903239680146953,1134.0798015106302,1,23,huc_07050002_domain
62,695,455959089422305,45.999673,-89.706539,1632.414795,1,GW,1619.554795,12.86,6,Hydroregion 7,POINT (487852.6605999991 2572983.597200001),487852.66059999913,2572983.5972000007,498.3349934893697,496.60746191280145,huc_07050002_domain,493.640301516,3.919728,497.560029516,1.7275315765682535,1135.8073330871985,2.1921964234317466,-1131.8876050871984,-2.9671603968014324,1134.0798015106302,1,23,huc_07050002_domain
63,696,455959089422306,45.999673,-89.706539,1632.414795,1,GW,1604.514795,27.9,7,Hydroregion 7,POINT (487852.6605999991 2572983.597200001),487852.66059999913,2572983.5972000007,498.3349934893697,496.60746191280145,huc_07050002_domain,489.05610951600005,8.50392,497.560029516,1.7275315765682535,1135.8073330871985,6.776388423431747,-1127.3034130871984,-7.551352396801406,1134.0798015106302,1,23,huc_07050002_domain
64,697,455959089422401,45.999673,-89.706817,1637.303223,1,GW,1619.743223,17.56,6,Hydroregion 7,POINT (487831.1587000005 2572982.1711),487831.1587000005,2572982.1711,498.49593099035474,496.61211154132604,huc_07050002_domain,493.6977343704,5.352288,499.0500223704,1.8838194490286924,1140.6911114586737,3.4684685509713074,-1135.3388234586737,-2.914377170926059,1138.8072920096452,1,23,huc_07050002_domain
65,698,460002089421301,46.000506,-89.703761,1635.400391,1,GW,1629.440391,5.96,5,Hydroregion 7,POINT (488061.5546999983 2573090.151900001),488061.55469999835,2573090.151900001,500.3150582150952,496.1226375306271,huc_07050002_domain,496.65343117680004,1.816608,498.4700391768,4.192420684468061,1139.2777534693728,-2.375812684468061,-1137.4611454693727,0.5307936461729241,1135.0853327849047,1,23,huc_07050002_domain
66,699,460004089415501,46.001062,-89.698761,1639.698242,1,GW,1631.948242,7.75,5,Hydroregion 7,POINT (488444.4967 2573177.370100001),488444.4967,2573177.370100001,499.1308234638723,495.4829034814033,huc_07050002_domain,497.4178241616,2.3622,499.7800241616,3.647919982468977,1144.2153385185966,-1.2857199824689771,-1141.8531385185966,1.934920680196683,1140.5674185361277,1,23,huc_07050002_domain
