,Kf,Kc,Kb,vani,hydro,topo,sse,p5,p10,p20,Best,diff_error,sum_error
0,0.1,1.0,0.1,1.0,0.0012360939431396785,0.6815348386203075,797.3933365711601,0.5503238664673642,0.47595914299950176,0.37717987045341306,0.0,0.6802987446771678,0.6827709325634472
1,0.1,1.0,0.1,10.0,0.0012360939431396785,0.701620723091841,814.8858315850467,0.5656452416542103,0.4850523168908819,0.3832835077229696,0.0,0.7003846291487013,0.7028568170349807
2,0.1,1.0,0.1,100.0,0.0012360939431396785,0.753705499376645,887.6346248754303,0.6143497757847534,0.5276532137518685,0.4105630293971101,0.0,0.7524694054335053,0.7549415933197847
3,0.1,1.0,1.0,1.0,0.003708281829419036,0.5085191854827539,205.4573801343079,0.40234180368709516,0.33345789735924264,0.2386646736422521,0.0,0.5048109036533348,0.512227467312173
4,0.1,1.0,1.0,10.0,0.002472187886279357,0.5610195317911068,224.22165401836457,0.43385650224215244,0.3617339312406577,0.25460886895864476,0.0,0.5585473439048274,0.5634917196773861
5,0.1,1.0,1.0,100.0,0.0012360939431396785,0.7046682365978667,319.7832135631161,0.5626557050323866,0.45789735924265074,0.32972097658196314,0.0,0.703432142654727,0.7059043305410064
6,0.1,1.0,10.0,1.0,0.032138442521631644,0.013436764094749965,128.97291619180845,0.002615844544095665,0.000622820129546587,0.0,0.0,0.01870167842688168,0.045575206616381606
7,0.1,1.0,10.0,10.0,0.007416563658838072,0.04737498268458235,97.55751131023632,0.012082710513203787,0.0016193323368211261,0.0,0.0,0.03995841902574428,0.05479154634342043
8,0.1,1.0,10.0,100.0,0.002472187886279357,0.4520016622800942,42.21608416673087,0.283756851021425,0.11509715994020926,0.006851021425012456,0.0,0.44952947439381485,0.45447385016637354
9,0.1,1.0,100.0,1.0,0.4079110012360939,0.0002770466823659787,374.7959232569116,0.0,0.0,0.0,0.0,0.4076339545537279,0.4081880479184599
10,0.1,1.0,100.0,10.0,0.24351050679851668,0.03213741515445353,304.36863330675834,0.0036123567513702045,0.0,0.0,0.0,0.21137309164406315,0.2756479219529702
11,0.1,1.0,100.0,100.0,0.03584672435105068,0.22440781271644272,116.50972545599407,0.1525909317389138,0.06888390632785252,0.004235176880916791,0.0,0.18856108836539204,0.2602545370674934
12,0.1,10.0,0.1,1.0,0.03584672435105068,0.3281617952625017,154.26637585905175,0.24813153961136025,0.19967613353263577,0.12095166915794718,0.0,0.29231507091145104,0.3640085196135524
13,0.1,10.0,0.1,10.0,0.034610630407911,0.3439534561573625,155.3664288682336,0.2598405580468361,0.20465869456900848,0.12419033383158944,0.0,0.3093428257494515,0.3785640865652735
14,0.1,10.0,0.1,100.0,0.02595797280593325,0.3789998614766588,164.42838648500572,0.2965869456900847,0.2329347284504235,0.14088191330343797,0.0,0.35304188867072556,0.4049578342825921
15,0.1,10.0,1.0,1.0,0.0407911001236094,0.1649812993489403,90.5399581722474,0.11223218734429496,0.0645241654210264,0.01245640259093174,0.0,0.1241901992253309,0.2057723994725497
16,0.1,10.0,1.0,10.0,0.03337453646477132,0.19324006095027013,86.3198096963873,0.12506228201295466,0.07262082710513204,0.014698555057299452,0.0,0.15986552448549882,0.22661459741504145
17,0.1,10.0,1.0,100.0,0.02595797280593325,0.30488987394375955,81.43499175955353,0.2219730941704036,0.1433731938216243,0.04384653712007972,0.0,0.2789319011378263,0.3308478467496928
18,0.1,10.0,10.0,1.0,0.0630407911001236,0.001662280094195872,161.13519765864763,0.000622820129546587,0.0,0.0,0.0,0.06137851100592773,0.06470307119431948
19,0.1,10.0,10.0,10.0,0.04697156983930779,0.006649120376783488,148.57066257633844,0.000622820129546587,0.00012456402590931738,0.0,0.0,0.0403224494625243,0.053620690216091275
20,0.1,10.0,10.0,100.0,0.023485784919653894,0.09045574179249204,103.18666438236859,0.042600896860986545,0.0085949177877429,0.0,0.0,0.06696995687283815,0.11394152671214593
21,0.1,10.0,100.0,1.0,0.44252163164400493,0.0,395.3010527079823,0.0,0.0,0.0,0.0,0.44252163164400493,0.44252163164400493
22,0.1,10.0,100.0,10.0,0.4079110012360939,0.0051253636237706054,374.6746790244114,0.001245640259093174,0.0,0.0,0.0,0.40278563761232333,0.4130363648598645
23,0.1,10.0,100.0,100.0,0.23485784919653893,0.04765202936694833,262.6429756665275,0.02715495764823119,0.007722969606377678,0.0,0.0,0.18720581982959061,0.28250987856348725
24,1.0,10.0,0.1,1.0,0.038318912237330034,0.129796370688461,85.5970968852544,0.0773542600896861,0.03313403089187843,0.004235176880916791,0.0,0.09147745845113098,0.16811528292579103
25,1.0,10.0,0.1,10.0,0.034610630407911,0.13270536085330378,84.53259305648226,0.07835077229696064,0.03350772296960638,0.004235176880916791,0.0,0.09809473044539278,0.16731599126121477
26,1.0,10.0,0.1,100.0,0.022249690976514216,0.14475689153622384,79.56078877415912,0.08570004982561036,0.03774289985052317,0.004733432984554061,0.0,0.12250720055970962,0.16700658251273806
27,1.0,10.0,1.0,1.0,0.04326328800988875,0.06912314725031168,97.51208036201079,0.03388141504733433,0.009715994020926755,0.0018684603886397607,0.0,0.02585985924042293,0.11238643526020044
