,Kf,Kc,Kb,vani,hydro,topo,sse,p5,p10,p20,Best,diff_error,sum_error
0,0.1,1.0,0.1,1.0,0.04571584998631262,0.5701318348822131,181.8234536866731,0.40768254442287594,0.29356428251455874,0.15297894579662535,0.0,0.5244159848959005,0.6158476848685257
1,0.1,1.0,0.1,10.0,0.0451683547768957,0.6039766587421656,195.28960757571295,0.44012244288487384,0.3183515006719427,0.1676496938927878,0.0,0.5588083039652698,0.6491450135190613
2,0.1,1.0,0.1,100.0,0.044620859567478785,0.6856710611627405,261.3103496205229,0.5294161564879797,0.4102583246229655,0.2259967149469912,0.0,0.6410502015952617,0.7302919207302192
3,0.1,1.0,1.0,1.0,0.05255954010402409,0.21560406310784525,83.13797865309037,0.1122144243691205,0.05603255188890548,0.029080185157533224,0.0,0.16304452300382116,0.26816360321186933
4,0.1,1.0,1.0,10.0,0.04845332603339721,0.3248757294143073,78.49131054218977,0.1779154845453188,0.08190234433328356,0.03464237718381365,0.0,0.2764224033809101,0.3733290554477045
5,0.1,1.0,1.0,100.0,0.04379961675335341,0.5985735897990059,118.19400046331441,0.4301926235627893,0.2837464536359564,0.10579363894281021,0.0,0.5547739730456525,0.6423732065523593
6,0.1,1.0,10.0,1.0,0.1382425403777717,0.033542251999135506,151.88838721820917,0.01452142750485292,0.0035463640436016125,0.0,0.0,0.1047002883786362,0.1717847923769072
7,0.1,1.0,10.0,10.0,0.08650424308787298,0.09937324400259347,126.49262711963978,0.03355980289681947,0.008697924443780798,0.0004106316261012394,0.0,0.012869000914720485,0.18587748709046645
8,0.1,1.0,10.0,100.0,0.044620859567478785,0.43604927598876164,94.35926286387675,0.28635956398387336,0.1571599223532925,0.026168433626997164,0.0,0.39142841642128284,0.48067013555624044
9,0.1,1.0,100.0,1.0,0.5789761839583903,0.01988329371082775,457.67198076278163,0.011908317156935942,0.0013812154696132596,0.0,0.0,0.5590928902475626,0.5988594776692181
10,0.1,1.0,100.0,10.0,0.3569668765398303,0.08411497730711044,1616789.5060805595,0.04031655965357623,0.006495445721965059,0.0003359713304464686,0.0,0.27285189923271985,0.4410818538469407
11,0.1,1.0,100.0,100.0,0.2411716397481522,0.34536416684676896,292.59091942783675,0.22349559504255637,0.11344631924742422,0.017731820218008062,0.0,0.10419252709861676,0.5865358065949211
12,0.1,10.0,0.1,1.0,0.0777443197372023,0.3913118651393992,133.49546116333534,0.2642974466178886,0.17701956099746155,0.08903240256831417,0.0,0.3135675454021969,0.4690561848766015
