         1        12       264   2.1750557E+02   2.8121450E+03         6
         1        13       264   2.1688089E+02   1.0255436E+04         6
         1        13       274   2.1014152E+02   2.8121606E+03         6
         1        13       275   2.0956512E+02   9.8045345E+03         6
         1        14       264   2.1608690E+02   6.3540296E+03         6
         1        14       265   2.1560425E+02   3.7424355E+03         6
         1        14       275   2.0893033E+02   4.0904399E+03         6
         1        14       276   2.0846998E+02   5.9860503E+03         6
         1        15       265   2.1497322E+02   9.4580804E+03         6
         1        15       276   2.0775834E+02   9.5907151E+03         6
         1        16       265   2.1407241E+02   9.3858255E+03         6
         1        16       266   2.1266564E+02   8.8167935E+03         6
         1        16       276   2.0686091E+02   1.0053018E+04         6
         1        17        81   4.0653252E+02   3.0319639E+06         6
         1        17        82   4.0707617E+02   5.6517546E+03         6
         1        17       265   2.1316071E+02   9.6859484E+03         6
         1        17       266   2.1210792E+02   5.8901222E+03         6
         1        17       267   2.1174426E+02   3.6992026E+03         6
         1        17       276   2.0594113E+02   1.0079697E+04         6
         1        18        81   4.0564817E+02   1.1093728E+07         6
         1        18       265   2.1224185E+02   9.5356626E+03         6
         1        18       267   2.1123982E+02   9.6025632E+03         6
         1        18       276   2.0515032E+02   7.2302677E+03         6
         1        19        79   4.0271179E+02   3.0611718E+03         6
         1        19        80   4.0363151E+02   1.1629535E+07         6
         1        19        81   4.0465661E+02   4.7444277E+03         6
         1        19       158   2.6864631E+02   8.2573120E+04         6
         1        19       159   2.6787000E+02   5.1892188E+03         6
         1        19       160   2.6633099E+02   3.6269912E+05         6
         1        19       161   2.6608608E+02   9.4974076E+06         6
         1        19       162   2.6561428E+02   9.4974076E+06         6
         1        19       163   2.6527669E+02   4.0941123E+06         6
         1        19       265   2.1146315E+02   6.7538801E+03         6
         1        19       266   2.1099722E+02   2.9927455E+03         6
         1        19       267   2.1050306E+02   9.8253210E+03         6
         1        19       276   2.0428530E+02   2.0831742E+03         6
         1        19       277   2.0334111E+02   1.0766175E+04         6
         1        19       278   2.0245316E+02   3.7163276E+06         6
         1        20        71   4.0036648E+02   4.7071943E+06         6
         1        20        72   4.0121716E+02   9.6414877E+06         6
         1        20        73   4.0236938E+02   9.7935755E+03         6
         1        20        79   4.0188148E+02   1.0201414E+07         6
         1        20       157   2.6973463E+02   1.3645035E+05         6
         1        20       158   2.6907175E+02   1.3960027E+04         6
         1        20       163   2.6504079E+02   5.4032953E+06         6
         1        20       164   2.6467068E+02   9.4974076E+06         6
